,Actions,TP,FP,FN,TN
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,2,0,8809
3,hello,1285,0,2,7588
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,2,0,8254
10,name,1129,0,2,7744
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,2,0,8809
3,hello,1285,0,2,7588
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,2,0,8254
10,name,1129,0,2,7744
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,2,0,8809
3,hello,1285,0,2,7588
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,924,0,1,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,2,0,8254
10,name,1129,1,2,7743
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,0,0,8811
3,hello,1285,2,2,7586
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,2,0,7948
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,617,0,2,8256
10,name,1129,2,2,7742
0,a,896,2,1,7976
1,b,95,0,0,8780
2,c,64,2,0,8809
3,hello,1280,0,7,7588
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,1,0,7949
7,I love you,1335,0,0,7540
8,thank,348,2,0,8525
9,you,617,4,2,8252
10,name,1128,2,3,7742
0,a,896,0,1,7978
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1285,2,2,7586
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,1,0,7949
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,615,2,4,8254
10,name,1129,3,2,7741
0,a,897,1,0,7977
1,b,94,0,1,8780
2,c,64,6,0,8805
3,hello,1283,2,4,7586
4,my,1221,2,0,7652
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,1,0,8526
9,you,610,0,9,8256
10,name,1129,4,2,7740
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,0,0,8811
3,hello,1287,2,0,7586
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,1,0,8255
10,name,1128,0,3,7744
0,a,897,5,0,7973
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1286,2,1,7586
4,my,1221,0,0,7654
5,y,950,0,3,7922
6,n,923,2,2,7948
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,613,0,6,8256
10,name,1129,4,2,7740
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1284,2,3,7586
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,2,0,8254
10,name,1129,0,2,7744
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,2,0,8809
3,hello,1285,0,2,7588
4,my,1221,0,0,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,619,0,0,8256
10,name,1129,2,2,7742
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1284,3,3,7585
4,my,1220,0,1,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,618,3,1,8253
10,name,1129,0,2,7744
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1285,3,2,7585
4,my,1220,0,1,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,617,1,2,8255
10,name,1128,3,3,7741
0,a,897,0,0,7978
1,b,95,1,0,8779
2,c,64,0,0,8811
3,hello,1285,2,2,7586
4,my,1220,0,1,7654
5,y,953,0,0,7922
6,n,925,0,0,7950
7,I love you,1335,0,0,7540
8,thank,348,0,0,8527
9,you,618,1,1,8255
10,name,1129,2,2,7742
0,a,897,0,0,7978
1,b,95,0,0,8780
2,c,64,1,0,8810
3,hello,1284,2,3,7586
